day,time,course_code,room_code
Thursday,2 9:45 - 10:40,MAT2501,NS01
Thursday,3 10:50 - 11:45,CSE2259,LFL04
Thursday,6 1:25 - 2:20,CSE2257,NS01
Thursday,7 2:30 - 3:25,APT4002,NS01
Friday,3 10:50 - 11:45,CSE2264,NS01
Friday,4 11:45 - 12:35,CSE2258,NS01
Friday,7 2:30 - 3:25,CSE2252,DSL04
Monday,1 8:50 - 9:45,CSE1500,NS02
Monday,2 9:45 - 10:40,CSE2257,NS02
Monday,6 1:25 - 2:20,MAT2501,NS02
Monday,7 2:30 - 3:25,CSE2251,NS02
Monday,8 3:25 - 4:15,CSE2253,NS02
Tuesday,1 8:50 - 9:45,CSE2252,DFL04
Tuesday,3 10:50 - 11:45,APT4002,NS02
Tuesday,6 1:25 - 2:20,CSE2264,NS02
Tuesday,7 2:30 - 3:25,CSE2259,LFL04
Wednesday,1 8:50 - 9:45,MAT2501,NS02
Wednesday,2 9:45 - 10:40,CSE2258,NS02
Wednesday,7 2:30 - 3:25,CSE2254,LFL01
Thursday,1 8:50 - 9:45,CSE2251,NS02
Thursday,2 9:45 - 10:40,CSE2264,NS02
Thursday,3 10:50 - 11:45,CSE2253,NS02
Thursday,4 11:45 - 12:35,MAT2501,NS02
Thursday,7 2:30 - 3:25,CSE2258,NS02
Thursday,8 3:25 - 4:15,CSE2257,NS02
Friday,1 8:50 - 9:45,CSE2264,NS02
Friday,2 9:45 - 10:40,CSE2258,NS02
Friday,3 10:50 - 11:45,CSE2251,NS02
Friday,4 11:45 - 12:35,CSE1500,NS02
Friday,6 1:25 - 2:20,CSE2253,NS02
Friday,7 2:30 - 3:25,CSE2257,NS02
Friday,8 3:25 - 4:15,MAT2501,NS02
Monday,1 8:50 - 9:45,CSE2259,LFL05
Tuesday,3 10:50 - 11:45,CSE2254,LFL03
Thursday,3 10:50 - 11:45,CSE2252,DFL04
Monday,1 8:50 - 9:45,MAT2501,NS03
Monday,2 9:45 - 10:40,CSE1500,NS03
Monday,3 10:50 - 11:45,CBC2000,NS03
Monday,4 11:45 - 12:35,CSE2251,NS03
Monday,6 1:25 - 2:20,CSE2257,NS03
Monday,7 2:30 - 3:25,CSE2271,NS03
Tuesday,1 8:50 - 9:45,CSE2251,NS03
